rubric,complete_rubric,category,sub_category,remedy_short_name,grade,page
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,nat-c,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,nat-p,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,nit-ac,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,ol-an,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,phel,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,phos,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,rheum,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,sabad,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,sars,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,spig,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,stann,1,1
"ABSENT-MINDED, ABSORBED, buried in thought","MIND - ABSENT-MINDED - ABSORBED, buried in thought",mind,sub,stram,1,1
"ABSENT-MINDED, daytime","MIND - ABSENT-MINDED - daytime",mind,sub,elaps,1,1
"ABSENT-MINDED, menses, during","MIND - ABSENT-MINDED - menses, during",mind,sub,calc,1,1
"ABSENT-MINDED, morning","MIND - ABSENT-MINDED - morning",mind,sub,nat-c,2,1
"ABSENT-MINDED, morning","MIND - ABSENT-MINDED - morning",mind,sub,guaj,1,1
"ABSENT-MINDED, morning","MIND - ABSENT-MINDED - morning",mind,sub,nux-v,1,1
"ABSENT-MINDED, morning","MIND - ABSENT-MINDED - morning",mind,sub,ph-ac,1,1
"ABSENT-MINDED, morning","MIND - ABSENT-MINDED - morning",mind,sub,phos,1,1
"ABSENT-MINDED, noon","MIND - ABSENT-MINDED - noon",mind,sub,mosch,1,1
"ABSENT-MINDED, periodical attacks of, short lasting","MIND - ABSENT-MINDED - periodical attacks of, short lasting",mind,sub,nux-m,2,1
"ABSENT-MINDED, periodical attacks of, short lasting","MIND - ABSENT-MINDED - periodical attacks of, short lasting",mind,sub,fl-ac,1,1
"ABSENT-MINDED, reading, while","MIND - ABSENT-MINDED - reading, while",mind,sub,nux-m,2,1
"ABSENT-MINDED, reading, while","MIND - ABSENT-MINDED - reading, while",mind,sub,agn,1,1
"ABSENT-MINDED, reading, while","MIND - ABSENT-MINDED - reading, while",mind,sub,lach,1,1
"ABSENT-MINDED, reading, while","MIND - ABSENT-MINDED - reading, while",mind,sub,ph-ac,1,1
"ABSENT-MINDED, starts when spoken to","MIND - ABSENT-MINDED - starts when spoken to",mind,sub,carb-ac,1,1
"ABSENT-MINDED, writing, while","MIND - ABSENT-MINDED - writing, while",mind,sub,mag-c,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,nux-m,3,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,phos,3,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,cann-i,2,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,hell,2,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,hyos,2,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,nat-m,2,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,sulph,2,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,visc,2,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,alum,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,amyl-n,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,camph,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,carb-ac,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,caust,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,cic,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,con,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,cycl,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,elaps,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,guaj,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,kreos,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,laur,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,lyc,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,lyss,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,mez,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,onos,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,op,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,ph-ac,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,plat,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,sabad,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,sec,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,sil,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,stram,1,1
"ABSORBED, ABSTRACTION of mind","MIND - ABSORBED - ABSTRACTION of mind",mind,sub,vesp,1,1
"ABSORBED, afternoon","MIND - ABSORBED - afternoon",mind,sub,mang,1,1
"ABSORBED, alternating with frivolity","MIND - ABSORBED - alternating with frivolity",mind,sub,arg-n,1,1
"ABSORBED, as to what would become of him","MIND - ABSORBED - as to what would become of him",mind,sub,nat-m,1,1
"ABSORBED, eating, after","MIND - ABSORBED - eating, after",mind,sub,aloe,1,1
"ABSORBED, evening","MIND - ABSORBED - evening",mind,sub,sulph,2,1
"ABSORBED, evening","MIND - ABSORBED - evening",mind,sub,am-m,1,1
"ABSORBED, menses, during","MIND - ABSORBED - menses, during",mind,sub,mur-ac,1,1
"ABSORBED, morning","MIND - ABSORBED - morning",mind,sub,guaj,1,1
"MIND, Grading","MIND - MIND - Grading",mind,sub,bold,3,1
"MIND, Grading","MIND - MIND - Grading",mind,sub,italic,2,1
ABUSIVE,"MIND - ABUSIVE",mind,main,anac,2,2
ABUSIVE,"MIND - ABUSIVE",mind,main,bell,2,2
ABUSIVE,"MIND - ABUSIVE",mind,main,hyos,2,2
ABUSIVE,"MIND - ABUSIVE",mind,main,lyss,2,2
ABUSIVE,"MIND - ABUSIVE",mind,main,nux-v,2,2
ABUSIVE,"MIND - ABUSIVE",mind,main,petr,2,2
ABUSIVE,"MIND - ABUSIVE",mind,main,seneg,2,2
ABUSIVE,"MIND - ABUSIVE",mind,main,sep,2,2
ABUSIVE,"MIND - ABUSIVE",mind,main,verat,2,2
ABUSIVE,"MIND - ABUSIVE",mind,main,am-c,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,am-m,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,bor,1,2
ABUSIVE,"MIND - ABUSIVE",mind,main,caust,1,2
